state_name,drug_name,generic_name,bene_count,prescriber_count,total_claim_count,total_drug_cost
National Total,DEPO-SUBQ PROVERA 104,MEDROXYPROGESTERONE ACETATE,87,90,204,24665.87
National Total,DEPO-TESTOSTERONE,TESTOSTERONE CYPIONATE,25885,18972,64545,3764026.09
National Total,DERMA-SMOOTHE-FS,FLUOCINOLONE ACETONIDE,1069,748,1674,69191.68
National Total,DERMA-SMOOTHE-FS,FLUOCINOLONE/SHOWER CAP,2434,2010,3971,171320.12
National Total,DERMATOP,PREDNICARBATE,58,55,103,9816.61
National Total,DERMOTIC,FLUOCINOLONE ACETONIDE OIL,3584,2509,4425,140766.34
National Total,DESFERAL,DEFEROXAMINE MESYLATE,  ,  ,30,44336.8
National Total,DESFERAL MESYLATE,DEFEROXAMINE MESYLATE,  ,  ,13,5058.77
National Total,DESIPRAMINE HCL,DESIPRAMINE HCL,20101,16650,98428,11464565.45
National Total,DESLORATADINE,DESLORATADINE,39563,27982,126699,14805419.4
National Total,DESMOPRESSIN ACETATE,DESMOPRESSIN (NONREFRIGERATED),1054,1091,2360,547549.38
National Total,DESMOPRESSIN ACETATE,DESMOPRESSIN ACETATE,29167,23984,181317,24256259.73
National Total,DESOGEN,DESOGESTREL-ETHINYL ESTRADIOL,30,34,156,10319.32
National Total,DESONATE,DESONIDE,1443,1240,1981,818396.33
National Total,DESONIDE,DESONIDE,322899,69998,506530,66327482.73
National Total,DESOWEN,DESONIDE,73,74,105,35831.87
National Total,DESOXIMETASONE,DESOXIMETASONE,141481,48323,251467,34446101.16
National Total,DESOXYN,METHAMPHETAMINE HCL,115,152,701,636281.54
National Total,DESVENLAFAXINE ER,DESVENLAFAXINE,580,555,1449,244832.29
National Total,DETROL,TOLTERODINE TARTRATE,3621,3620,9729,1995187.89
National Total,DETROL LA,TOLTERODINE TARTRATE,232782,124970,1241507,311385810.4
National Total,DEXAMETHASONE,DEXAMETHASONE,321182,100448,629231,8166694.24
National Total,DEXAMETHASONE INTENSOL,DEXAMETHASONE,619,602,1034,78858.89
National Total,DEXAMETHASONE SODIUM PHOSPHATE,DEXAMETHASONE SOD PHOSPHATE,33382,13063,56092,758694.82
National Total,DEXAMETHASONE SODIUM PHOSPHATE,DEXAMETHASONE SOD PHOSPHATE/PF,500,260,1242,16784.89
National Total,DEXEDRINE,DEXTROAMPHETAMINE SULFATE,426,554,2573,2631576.86
National Total,DEXILANT,DEXLANSOPRAZOLE,311097,108939,1549881,301835156.7
National Total,DEXMETHYLPHENIDATE HCL,DEXMETHYLPHENIDATE HCL,2262,2459,10848,775896.47
National Total,DEXMETHYLPHENIDATE HCL ER,DEXMETHYLPHENIDATE HCL,64,61,68,15571.95
National Total,DEXPAK,DEXAMETHASONE,4708,2384,5235,260781.41
National Total,DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE SULFATE,16123,16431,104416,28177656.49
National Total,DEXTROAMPHETAMINE-AMPHETAMINE,DEXTROAMPHETAMINE/AMPHETAMINE,43889,36887,269988,52672655.72
National Total,DEXTROSE 5%-0.2% NACL-KCL,POTASSIUM CHLORIDE/D5-0.2%NACL,63,27,102,1858.93
National Total,DEXTROSE 5%-0.225% NACL-KCL,POTASSIUM CHLORIDE/D5-0.2%NACL,12,  ,12,188.91
National Total,DEXTROSE 5%-0.45% NACL-KCL,POTASSIUM CHLORIDE/D5-0.45NACL,2026,1432,4245,54716.98
National Total,DEXTROSE 5%-1/2NS-KCL,POTASSIUM CHLORIDE/D5-0.45NACL,453,361,742,11014.59
National Total,DEXTROSE 5%-NS-KCL,POTASSIUM CHLORIDE/D5-0.9%NACL,189,176,347,8336.6
National Total,DEXTROSE 5%-POTASSIUM CHLORIDE,POTASSIUM CHLORIDE IN D5W,107,93,228,3322.42
National Total,DEXTROSE IN LACTATED RINGERS,DEXTROSE 5%-LACTATED RINGERS,501,238,784,10483.35
National Total,DEXTROSE IN WATER,DEXTROSE 10 % IN WATER,267,255,482,4682.11
National Total,DEXTROSE IN WATER,DEXTROSE 5 % IN WATER,9604,5592,22241,422238.2
National Total,DEXTROSE IN WATER,DEXTROSE 50 % IN WATER,831,686,1025,12217.18
National Total,DEXTROSE IN WATER,DEXTROSE 70 % IN WATER,669,553,12733,581496.29
National Total,DEXTROSE WITH SODIUM CHLORIDE,DEXTROSE 10 % AND 0.45 % NACL,  ,  ,15,268.33
National Total,DEXTROSE WITH SODIUM CHLORIDE,DEXTROSE 2.5 % AND 0.45 % NACL,13,  ,15,102.72
National Total,DEXTROSE WITH SODIUM CHLORIDE,DEXTROSE 5 % AND 0.3 % NACL,12,  ,17,167.35
National Total,DEXTROSE WITH SODIUM CHLORIDE,DEXTROSE 5 % AND 0.9 % NACL,5795,3694,9932,110586.13
National Total,DEXTROSE WITH SODIUM CHLORIDE,DEXTROSE 5 %-0.2 % NACL,342,274,658,7648.1
National Total,DEXTROSE WITH SODIUM CHLORIDE,DEXTROSE 5 %-0.45 % NACL,21972,8517,41293,422237.99
National Total,DIABETA,GLYBURIDE,323,355,1221,183757.59
National Total,DIALYVITE,FOLIC ACID/VITAMIN B COMP W-C,467,444,1984,12395.58
National Total,DIALYVITE 3000,FA/VIT BCOMP&C/SE/MIN AA/ZN,70,77,232,3886.25
National Total,DIALYVITE 5000,MULTIVIT MINCMB#11/FOLIC ACID,  ,  ,38,868.03
National Total,DIALYVITE SUPREME D,MULTIVITAMIN MIN CMB#25/FA/D3,28,26,90,1372.47
National Total,DIALYVITE ZINC,VIT B CPLX #11/FA/C/BIOT/ZN OX,87,90,360,2783
National Total,DIAMOX SEQUELS,ACETAZOLAMIDE,382,301,1237,446624.09
National Total,DIANEAL WITH 1.5% DEXTROSE,PERIT. DIALYSIS 6 & DEX 1.5 %,  ,  ,74,25539.83
National Total,DIASTAT,DIAZEPAM,54,55,98,40062.92
National Total,DIASTAT ACUDIAL,DIAZEPAM,1353,1161,2819,1689345.65
National Total,DIAZEPAM,DIAZEPAM,1062063,332165,3990078,30288024.46
National Total,DIBENZYLINE,PHENOXYBENZAMINE HCL,597,650,2394,1853004.33
National Total,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,132536,36696,319458,6397639.84
National Total,DICLOFENAC SODIUM,DICLOFENAC SODIUM,770293,168715,2228718,59293239.76
National Total,DICLOFENAC SODIUM-MISOPROSTOL,DICLOFENAC SODIUM/MISOPROSTOL,35451,26915,113999,23138683.86
National Total,DICLOXACILLIN SODIUM,DICLOXACILLIN SODIUM,42595,23677,59918,1410485.65
National Total,DICYCLOMINE HCL,DICYCLOMINE HCL,463831,162722,1303120,11891855.74
National Total,DIDANOSINE,DIDANOSINE,1999,1628,15862,3671395.3
National Total,DIDREX,BENZPHETAMINE HCL,  ,  ,11,1818.5
National Total,DIDRONEL,ETIDRONATE DISODIUM,  ,  ,13,1756.71
National Total,DIETHYLPROPION HCL,DIETHYLPROPION HCL,169,148,665,18991.37
National Total,DIFFERIN,ADAPALENE,1440,1267,2518,641301.56
National Total,DIFICID,FIDAXOMICIN,5877,5287,7877,23222926.49
National Total,DIFLORASONE DIACETATE,DIFLORASONE DIACETATE,11456,7801,22532,5072824.6
National Total,DIFLUCAN,FLUCONAZOLE,1124,1231,2137,467595.01
National Total,DIFLUNISAL,DIFLUNISAL,19354,8985,52725,4297862.13
National Total,DIGOX,DIGOXIN,705156,197930,3502941,38582380.19
National Total,DIGOXIN,DIGOXIN,396626,147276,1796355,18703817.46
National Total,DIHYDROERGOTAMINE MESYLATE,DIHYDROERGOTAMINE MESYLATE,1496,1169,4161,3897613.8
National Total,DILACOR XR,DILTIAZEM HCL,76,87,388,69129.78
National Total,DILANTIN,PHENYTOIN,15417,12832,81677,3560335.14
National Total,DILANTIN,PHENYTOIN SODIUM EXTENDED,44160,36577,340853,21898731.74
National Total,DILANTIN-125,PHENYTOIN,607,686,4369,477224.72
National Total,DILATRATE-SR,ISOSORBIDE DINITRATE,287,315,1494,320897.55
National Total,DILAUDID,HYDROMORPHONE HCL,1803,2114,9973,3208153.43
National Total,DILAUDID,HYDROMORPHONE HCL/PF,77,95,435,41836.18
National Total,DILAUDID-HP,HYDROMORPHONE HCL/PF,22,20,120,73684.9
National Total,DILT-CD,DILTIAZEM HCL,780,769,2976,92557.84
National Total,DILT-XR,DILTIAZEM HCL,75187,48072,276507,12418519.77
National Total,DILTIAZEM 24HR CD,DILTIAZEM HCL,430408,167713,2027819,86334545.32
National Total,DILTIAZEM 24HR ER,DILTIAZEM HCL,533059,186692,2496480,126737787.5
National Total,DILTIAZEM ER,DILTIAZEM HCL,345104,156551,1541081,75069818.01
National Total,DILTIAZEM HCL,DILTIAZEM HCL,201369,119379,882242,10920065.95
National Total,DILTZAC ER,DILTIAZEM HCL,141,141,654,27373.25
National Total,DIMENHYDRINATE,DIMENHYDRINATE,16,  ,18,621.52
National Total,DIOVAN,VALSARTAN,1036717,240407,6415603,1227141573
National Total,DIOVAN HCT,VALSARTAN/HYDROCHLOROTHIAZIDE,151106,77687,486002,100995003.7
National Total,DIPENTUM,OLSALAZINE SODIUM,683,755,3472,3247269.18
National Total,DIPHENHYDRAMINE HCL,DIPHENHYDRAMINE HCL,25476,16082,66555,722269.4
National Total,DIPHENOXYLATE-ATROPINE,DIPHENOXYLATE HCL/ATROPINE,361164,147044,829264,11491928.63
National Total,DIPHTHERIA-TETANUS TOXOID,TETANUSDIPHTHERIA TOXD PED/PF,77,60,77,3418.42
National Total,DIPHTHERIA-TETANUS TOXOIDS-PED,TETANUSDIPHTHERIA TOXD PED/PF,422,175,424,23928.77
National Total,DIPROLENE,BETAMETHASONE/PROPYLENE GLYC,220,223,410,68882.72
National Total,DIPROLENE AF,BETAMETHASONE/PROPYLENE GLYC,165,162,324,76583.3
National Total,DIPYRIDAMOLE,DIPYRIDAMOLE,32623,24482,166174,5691039.1
National Total,DISOPYRAMIDE PHOSPHATE,DISOPYRAMIDE PHOSPHATE,4850,5085,26877,1474881.08
National Total,DISULFIRAM,DISULFIRAM,7134,7278,25140,2839624.26
National Total,DITROPAN XL,OXYBUTYNIN CHLORIDE,713,817,3408,932704.29
National Total,DIURIL,CHLOROTHIAZIDE,46,51,202,12508.32
National Total,DIVALPROEX SODIUM,DIVALPROEX SODIUM,383727,143007,2779181,102256010.4
National Total,DIVALPROEX SODIUM ER,DIVALPROEX SODIUM,270049,105412,1955453,199833755.3
National Total,DIVIGEL,ESTRADIOL,2581,2168,9507,1193868.81
National Total,DOBUTAMINE HCL,DOBUTAMINE HCL,33,30,233,14791.87
National Total,DOBUTAMINE HCL IN DEXTROSE,DOBUTAMINE HCL/D5W,62,60,606,58048.97
National Total,DOCETAXEL,DOCETAXEL,377,191,1297,3312525.41
National Total,DOLGIC PLUS,BUTALB/ACETAMINOPHEN/CAFFEINE,38,35,86,31205.24
National Total,DOLOGESIC,ACETAMINOPHEN/PHENYLTOLX CIT,12,  ,14,235.87
National Total,DOLOPHINE HCL,METHADONE HCL,31,43,110,3214.32
National Total,DONEPEZIL HCL,DONEPEZIL HCL,1290351,225281,8297796,240216747.4
National Total,DONEPEZIL HCL ODT,DONEPEZIL HCL,13496,10735,64120,4113481.46
National Total,DORAL,QUAZEPAM,48,52,112,21842.68
National Total,DORIBAX,DORIPENEM,976,768,3306,1718511.77
National Total,DORYX,DOXYCYCLINE HYCLATE,541,480,1034,630004.75
National Total,DORZOLAMIDE HCL,DORZOLAMIDE HCL,138074,38848,541904,19547720.31
National Total,DORZOLAMIDE-TIMOLOL,DORZOLAMIDE HCL/TIMOLOL MALEAT,381428,63579,1578449,66075097.67
National Total,DOVONEX,CALCIPOTRIENE,3155,2734,8010,5547250.34
National Total,DOXAZOSIN MESYLATE,DOXAZOSIN MESYLATE,600253,184359,3169928,53569875.64
National Total,DOXEPIN HCL,DOXEPIN HCL,197798,102972,979872,17530524.6
National Total,DOXIL,DOXORUBICIN HCL PEG-LIPOSOMAL,55,44,162,627392.09
National Total,DOXORUBICIN HCL,DOXORUBICIN HCL,139,100,451,37632.33
National Total,DOXORUBICIN HCL LIPOSOME,DOXORUBICIN HCL PEG-LIPOSOMAL,25,19,54,180750.43
National Total,DOXY 100,DOXYCYCLINE HYCLATE,247,225,769,177883.39
National Total,DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,1880615,386288,2909431,207646340.7
National Total,DOXYCYCLINE MONOHYDRATE,DOXYCYCLINE MONOHYDRATE,221101,109734,310355,13406892.52
National Total,DRISDOL,ERGOCALCIFEROL (VITAMIN D2),138,119,347,8471.75
National Total,DRITHOCREME HP,ANTHRALIN,90,84,162,19389.66
National Total,DRONABINOL,DRONABINOL,35664,26243,122456,54957717.28
National Total,DROPERIDOL,DROPERIDOL,33,21,71,1826.57
National Total,DROSPIRENONE-ETHINYL ESTRADIOL,ETHINYL ESTRADIOL/DROSPIRENONE,84,83,123,9777.83
National Total,DROXIA,HYDROXYUREA,387,414,1956,87019.98
National Total,DUAC,CLINDAMYCIN PHOS/BENZOYL PEROX,152,153,261,64127.26
National Total,DUET DHA BALANCED,PNV110/IRON/FA/OMEGA 3/DHA/EPA,  ,  ,15,1884.34
National Total,DUETACT,PIOGLITAZONE HCL/GLIMEPIRIDE,1962,1790,6700,2789419.17
National Total,DUEXIS,IBUPROFEN/FAMOTIDINE,4096,2705,7634,3332033.56
National Total,DULERA,MOMETASONE/FORMOTEROL,153060,61074,465813,125658426.4
National Total,DULOXETINE HCL,DULOXETINE HCL,167851,91429,177853,45703055.39
National Total,DUONEB,IPRATROPIUM/ALBUTEROL SULFATE,278,250,352,30315.68
National Total,DURAGESIC,FENTANYL,3489,4458,24782,26447197.65
National Total,DURAMORPH,MORPHINE SULFATE/PF,  ,  ,21,693.84
National Total,DUREZOL,DIFLUPREDNATE,288943,18804,438102,50067811.84
National Total,DUTOPROL,METOPROLOL SUCCINATE/HCTZ,879,880,2806,73482.59
National Total,DYAZIDE,TRIAMTERENE/HYDROCHLOROTHIAZID,3240,3550,15420,950279.81
National Total,DYMISTA,AZELASTINE/FLUTICASONE,30658,13004,55241,9314827.5
National Total,DYNACIRC CR,ISRADIPINE,13,13,24,2540.76
National Total,DYRENIUM,TRIAMTERENE,4612,4834,20883,2517239.41
National Total,DYSPORT,ABOBOTULINUMTOXINA,82,59,170,178066.99
National Total,E.E.S. 200,ERYTHROMYCIN ETHYLSUCCINATE,1876,1693,9338,1898646.97
National Total,E.E.S. 400,ERYTHROMYCIN ETHYLSUCCINATE,2797,2247,3846,348941.03
National Total,EASY COMFORT INSULIN SYRINGE,SYRING W-NDLDISPINSUL0.5ML,179,160,397,13569.11
National Total,EASY COMFORT INSULIN SYRINGE,SYRINGE & NEEDLEINSULIN1 ML,100,94,255,7604.45
National Total,EASY COMFORT PEN NEEDLES,NEEDLES INSULIN DISPOSABLE,226,192,417,15470.42
National Total,EASY TOUCH,NEEDLES INSULIN DISPOSABLE,24828,17482,65731,1980214.4
National Total,EASY TOUCH,SYRING W-NDLDISPINSUL0.3ML,3606,3273,7990,197198.12
National Total,EASY TOUCH,SYRING W-NDLDISPINSUL0.5ML,11810,8411,35934,841531.6
National Total,EASY TOUCH,SYRINGE & NEEDLEINSULIN1 ML,4091,3486,11562,286330.74
National Total,EASY TOUCH ALCOHOL PREP PADS,ALCOHOL ANTISEPTIC PADS,2641,1536,6181,33061.24
National Total,EASY TOUCH INSULIN SAFETY,SYRINGENEEDLEINSULNSAFE1ML,74,42,150,4896.48
National Total,EASY TOUCH INSULIN SAFETY,SYRINGENEEDLEINSULNSF 0.5ML,58,31,110,3492.04
National Total,EASY TOUCH INSULIN SYRINGE,SYRING W-NDLDISPINSUL0.3ML,213,206,470,10730.6
National Total,EASY TOUCH INSULIN SYRINGE,SYRING W-NDLDISPINSUL0.5ML,748,675,1631,40994.27
National Total,EASY TOUCH INSULIN SYRINGE,SYRINGE & NEEDLEINSULIN1 ML,938,858,1966,54581.58
National Total,EASY-TOUCH INSULIN SYRINGE,SYRINGE & NEEDLEINSULIN1 ML,5648,4667,15725,387309.23
National Total,EC-NAPROSYN,NAPROXEN,126,127,303,47931.34
National Total,ECLIPSE SYRINGE,SYRINGE & NEEDLEINSULIN1 ML,33,33,53,3231.81
National Total,ECONAZOLE NITRATE,ECONAZOLE NITRATE,282964,60044,523109,13164470.41
National Total,ED-SPAZ,HYOSCYAMINE SULFATE,114,109,229,8688.4
National Total,EDARBI,AZILSARTAN MEDOXOMIL,9984,7317,42369,5383599.39
National Total,EDARBYCLOR,AZILSARTAN MED/CHLORTHALIDONE,9367,6281,38583,5006131.22
National Total,EDECRIN,ETHACRYNIC ACID,6800,7004,29316,10383271.29
National Total,EDEX,ALPROSTADIL,146,137,380,169078.54
National Total,EDLUAR,ZOLPIDEM TARTRATE,765,732,3228,764544.51
National Total,EDURANT,RILPIVIRINE HCL,1235,1023,8193,6147755.46
National Total,EFFER-K,POTASSIUM BICARBONATE/CIT AC,561,557,1365,36623.79
National Total,EFFEXOR XR,VENLAFAXINE HCL,10645,11774,69034,23910199.18
National Total,EFFIENT,PRASUGREL HCL,94597,49673,480751,140474472.5
National Total,EFUDEX,FLUOROURACIL,755,516,845,195475.64
National Total,EGRIFTA,TESAMORELIN ACETATE,1004,589,5829,14656895.57
National Total,ELAPRASE,IDURSULFASE,12,  ,118,6808945.7
National Total,ELDEPRYL,SELEGILINE HCL,47,53,201,59204.07
National Total,ELELYSO,TALIGLUCERASE ALFA,  ,  ,71,1712906.54
National Total,ELESTAT,EPINASTINE HCL,766,738,2141,346345.4
National Total,ELESTRIN,ESTRADIOL,1203,1004,3034,501673.61
National Total,ELIDEL,PIMECROLIMUS,28869,18077,51655,17144344.77
National Total,ELIGARD,LEUPROLIDE ACETATE,648,452,1399,1889700.02
National Total,ELIMITE,PERMETHRIN,27,22,45,5167.35
National Total,ELINEST,NORGESTREL-ETHINYL ESTRADIOL,510,588,2620,69815.13
National Total,ELIPHOS,CALCIUM ACETATE,1729,1208,2533,358700.42
National Total,ELIQUIS,APIXABAN,46927,23975,142957,44936698.07
National Total,ELITE-OB,IRONCARBONYL/FA/MULTIVITS-MIN,21,21,38,2764.25
National Total,ELIXOPHYLLIN,THEOPHYLLINE ANHYDROUS,697,637,3959,586347.61
National Total,ELLA,ULIPRISTAL ACETATE,55,55,74,3330.29
National Total,ELMIRON,PENTOSAN POLYSULFATE SODIUM,24825,15182,113075,69418115.83
National Total,ELOCON,MOMETASONE FUROATE,741,745,1318,116364.07
National Total,ELOXATIN,OXALIPLATIN,33,26,101,608473.52
National Total,EMADINE,EMEDASTINE DIFUMARATE,74,74,144,17573.57
National Total,EMCYT,ESTRAMUSTINE PHOSPHATE SODIUM,214,134,677,389189.38
National Total,EMEND,APREPITANT,9539,3538,27197,11849615.09
National Total,EMEND,FOSAPREPITANT DIMEGLUMINE,186,99,629,242284.96
National Total,EMLA,LIDOCAINE/PRILOCAINE,47,47,73,4651.91
National Total,EMOQUETTE,DESOGESTREL-ETHINYL ESTRADIOL,1028,1128,5290,137648.36
National Total,EMSAM,SELEGILINE,1608,1596,7873,6637285.04
National Total,EMTRIVA,EMTRICITABINE,3433,2888,26183,11048124.48
National Total,ENABLEX,DARIFENACIN HYDROBROMIDE,84812,51335,354379,75745520.09
National Total,ENALAPRIL MALEATE,ENALAPRIL MALEATE,875538,219887,5005683,51003219.71
National Total,ENALAPRIL-HYDROCHLOROTHIAZIDE,ENALAPRIL/HYDROCHLOROTHIAZIDE,57520,41416,308128,4952198.67
National Total,ENALAPRILAT,ENALAPRILAT DIHYDRATE,13,14,68,34613.81
National Total,ENBREL,ETANERCEPT,50570,15687,354298,977046788.6
National Total,ENDACOF-C,CHLORPHENIRAMINE/CODEINE PHOS,11,  ,15,283.21
National Total,ENDOCET,OXYCODONE HCL/ACETAMINOPHEN,182459,96756,484215,20790561.94
National Total,ENDODAN,OXYCODONE HCL/ASPIRIN,581,611,959,67201.72
National Total,ENDOMETRIN,PROGESTERONEMICRONIZED,20,20,41,11148.52
National Total,ENGERIX-B ADULT,HEPATITIS B VIRUS VACCINE/PF,1668,1131,2636,165051.76
National Total,ENGERIX-B PEDIATRIC-ADOLESCENT,HEPATITIS B VIRUS VACCINE/PF,88,86,109,6217.42
National Total,ENJUVIA,ESTROGENSCONJ.SYNTHETIC B,2723,2723,11786,1124676.34
National Total,ENLYTE,FA#5/FE/C/CA-THRE/PS-DHA/B#14,21,22,52,6138.68
National Total,ENOXAPARIN SODIUM,ENOXAPARIN SODIUM,403612,188404,779960,465345888.3
National Total,ENPRESSE,LEVONORGESTREL-ETH ESTRADIOL,896,1028,5801,147206.39
National Total,ENSKYCE,DESOGESTREL-ETHINYL ESTRADIOL,125,128,182,4903.79
National Total,ENTACAPONE,ENTACAPONE,21898,14145,136672,48562512.37
National Total,ENTOCORT EC,BUDESONIDE,693,712,1966,3266807.03
National Total,ENULOSE,LACTULOSE,44838,22184,217941,4245947.81
National Total,EPIDUO,ADAPALENE/BENZOYL PEROXIDE,1245,1182,2375,618330.03
National Total,EPIFOAM,HYDROCORTISONE/PRAMOXINE,105,105,143,9412.62
National Total,EPIKLOR,POTASSIUM CHLORIDE,286,286,388,7770.69
National Total,EPINASTINE HCL,EPINASTINE HCL,16938,8804,45325,3798217.83
National Total,EPINEPHRINE,EPINEPHRINE,128,119,139,5033.39
National Total,EPINEPHRINE,EPINEPHRINE/PF,88,66,93,1815.02
National Total,EPIPEN,EPINEPHRINE,997,966,1086,147277.61
National Total,EPIPEN 2-PAK,EPINEPHRINE,201900,110845,232548,62229241.63
National Total,EPIPEN JR,EPINEPHRINE,14,15,16,2279.61
National Total,EPIPEN JR 2-PAK,EPINEPHRINE,2088,1922,2353,643836.84
National Total,EPIRUBICIN HCL,EPIRUBICIN HCL,17,13,63,7762.68
National Total,EPITOL,CARBAMAZEPINE,20873,20237,104383,817656.74
National Total,EPIVIR,LAMIVUDINE,2807,2494,15289,3131996.92
National Total,EPIVIR HBV,LAMIVUDINE,3210,3163,19610,8993956.47
National Total,EPLERENONE,EPLERENONE,27591,20225,138158,20786970.62
National Total,EPOGEN,EPOETIN ALFA,2707,2434,8905,5239882.34
National Total,EPROSARTAN MESYLATE,EPROSARTAN MESYLATE,852,903,3595,552436.88
National Total,EPZICOM,ABACAVIR SULFATE/LAMIVUDINE,20864,7309,182604,195819431.8
National Total,EQUETRO,CARBAMAZEPINE,1093,882,6725,1290309.47
National Total,ERAXIS (WATER DILUENT),ANIDULAFUNGIN,39,44,191,192002.5
National Total,ERBITUX,CETUXIMAB,151,118,677,4851198.96
National Total,ERGOCALCIFEROL (VITAMIN D2),ERGOCALCIFEROL (VITAMIN D2),29,30,49,349.67
National Total,ERGOLOID MESYLATES,ERGOLOID MESYLATES,652,543,3100,1475325.93
National Total,ERGOMAR,ERGOTAMINE TARTRATE,60,61,103,31893.22
National Total,ERIVEDGE,VISMODEGIB,994,811,4080,35073650.69
National Total,ERRIN,NORETHINDRONE,2306,2420,9498,257323.41
National Total,ERTACZO,SERTACONAZOLE NITRATE,4533,2888,7110,2037253.04
National Total,ERY,ERYTHROMYCIN BASE/ETHANOL,866,733,2224,168256.25
National Total,ERY-TAB,ERYTHROMYCIN BASE,25299,19907,40553,3796529.45
National Total,ERYPED 200,ERYTHROMYCIN ETHYLSUCCINATE,1618,1375,5701,1664137.9
National Total,ERYPED 400,ERYTHROMYCIN ETHYLSUCCINATE,890,865,3111,827995.06
National Total,ERYTHROCIN LACTOBIONATE,ERYTHROMYCIN LACTOBIONATE,25,24,83,36946.03
National Total,ERYTHROCIN STEARATE,ERYTHROMYCIN STEARATE,11751,9961,20667,2333572.63
National Total,ERYTHROMYCIN,ERYTHROMYCIN BASE,494236,146862,770231,22191477.77
National Total,ERYTHROMYCIN,ERYTHROMYCIN BASE/ETHANOL,19666,14219,35451,1276790.6
National Total,ERYTHROMYCIN ETHYLSUCCINATE,ERYTHROMYCIN ETHYLSUCCINATE,7346,5416,11359,1081864.54
National Total,ERYTHROMYCIN-BENZOYL PEROXIDE,ERYTHROMYCIN/BENZOYL PEROXIDE,8446,6980,20699,1313511.93
National Total,ERYTHROMYCIN-SULFISOXAZOLE,ERY E-SUCC/SULFISOXAZOLE,135,116,239,11244.99
National Total,ESCAVITE,PEDIATRIC MV #47 W-FE&FLUORIDE,16,15,32,760.51
National Total,ESCITALOPRAM OXALATE,ESCITALOPRAM OXALATE,1090476,255906,6362938,308776858.4
National Total,ESGIC,BUTALB/ACETAMINOPHEN/CAFFEINE,60,61,155,24680.26
National Total,ESGIC-PLUS,BUTALB/ACETAMINOPHEN/CAFFEINE,86,89,205,30551.16
National Total,ESTARYLLA,NORGESTIMATE-ETHINYL ESTRADIOL,162,172,564,6829.37
National Total,ESTAZOLAM,ESTAZOLAM,17746,7408,73362,1064587.42
National Total,ESTRACE,ESTRADIOL,237641,77514,416545,62855041.49
National Total,ESTRADIOL,ESTRADIOL,405790,137233,1911551,34542731.72
National Total,ESTRADIOL VALERATE,ESTRADIOL VALERATE,2086,1981,4726,696535.75
National Total,ESTRADIOL-NORETHINDRONE ACETAT,ESTRADIOL/NORETHINDRONE ACET,16251,12313,70560,7839992.23
National Total,ESTRASORB,ESTRADIOL,63,66,118,8649.29
National Total,ESTRING,ESTRADIOL,26193,14552,66064,14303751.19
National Total,ESTROGEL,ESTRADIOL,14,14,42,5310.88
National Total,ESTROPIPATE,ESTROPIPATE,24722,21314,113975,1754453.44
National Total,ESTROSTEP FE,NORETH A-ET ESTRA/FE FUMARATE,16,17,93,13663.2
National Total,ETHAMBUTOL HCL,ETHAMBUTOL HCL,10888,8126,47904,4482590.71
National Total,ETHOSUXIMIDE,ETHOSUXIMIDE,1669,1996,13857,1580318.02
National Total,ETIDRONATE DISODIUM,ETIDRONATE DISODIUM,637,569,1799,308895.18
National Total,ETODOLAC,ETODOLAC,219764,70336,637394,27874164.25
National Total,ETOPOPHOS,ETOPOSIDE PHOSPHATE,  ,  ,12,6251.81
National Total,ETOPOSIDE,ETOPOSIDE,87,85,244,61037.59
National Total,EURAX,CROTAMITON,2998,2323,4823,662009.56
National Total,EVAMIST,ESTRADIOL,1646,1525,5078,560438.91
National Total,EVISTA,RALOXIFENE HCL,309789,120767,1740337,481292382.6
National Total,EVOCLIN,CLINDAMYCIN PHOSPHATE,33,32,53,21888.38
National Total,EVOXAC,CEVIMELINE HCL,3110,2897,11118,3948679.99
National Total,EXALGO,HYDROMORPHONE HCL,14410,6738,63059,56641799.7
National Total,EXELDERM,SULCONAZOLE NITRATE,2012,1173,2722,305448.57
National Total,EXELON,RIVASTIGMINE,235060,78098,1381768,465772265.8
National Total,EXELON,RIVASTIGMINE TARTRATE,1092,1129,3704,1395838.32
National Total,EXEMESTANE,EXEMESTANE,36202,13410,176703,55635426.08
National Total,EXFORGE,AMLODIPINE/VALSARTAN,126341,62943,726518,160066656.4
National Total,EXFORGE HCT,AMLODIPINE/VALSARTAN/HCTHIAZID,40709,25880,219187,47942467.24
National Total,EXJADE,DEFERASIROX,3479,2745,18919,125800329.3
National Total,EXTAVIA,INTERFERON BETA-1B,717,682,4928,16293559.67
National Total,EXTINA,KETOCONAZOLE,56,57,103,38432.19
National Total,EYLEA,AFLIBERCEPT,214,121,705,1626847.82
National Total,FABB,CYANOCOBALAMIN/FA/PYRIDOXINE,614,481,2163,61508.9
National Total,FABIOR,TAZAROTENE,13,12,14,7291.32
National Total,FABRAZYME,AGALSIDASE BETA,29,29,577,7994815.62
National Total,FACTIVE,GEMIFLOXACIN MESYLATE,752,427,1185,410259.61
National Total,FALMINA,LEVONORGESTREL-ETH ESTRADIOL,460,502,1975,53578.24
National Total,FAMCICLOVIR,FAMCICLOVIR,86761,50059,149648,13432226.46
National Total,FAMOTIDINE,FAMOTIDINE,922724,253550,4053403,48416221.01
